derived__avg_thread_executed_true [thread],"3,647 {201}"
derived__avg_thread_unexecuted_true [thread],"2,785 {201}"
derived__derivative_avg_thread_executed_true [thread],514 {201}
derived__l1tex__lsu_writeback_bytes_mem_lg.sum.peak_sustained,"2,560"
derived__l1tex__lsu_writeback_bytes_mem_lg.sum.per_second,"23,77,97,76,43,271.99"
derived__local_spilling_requests,0
derived__local_spilling_requests_pct [%],0
derived__lts__lts2xbar_bytes.sum.peak_sustained [bytes],768
derived__lts__lts2xbar_bytes.sum.per_second [Gbytes],135.51
derived__lts__t_sectors_lookup_miss_data_promoted_pct [%],0
derived__memory_l1_conflicts_shared_nway,0 {201}
derived__memory_l1_wavefronts_shared_excessive,0
derived__memory_l2_theoretical_sectors_global_excessive [byte],0 {59}
derived__pct_occupancy_per_block_size [%],"5,151 {65}"
derived__pct_occupancy_per_register_count [%/register],"10,252 {257}"
derived__pct_occupancy_per_shared_mem_size [%/Kbyte],2.39 {200}
derived__shared_spilling_requests,0
derived__shared_spilling_requests_pct [%],0
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],80
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],"5,120"
derived__sm__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],"5,120"
derived__smsp__inst_executed_op_branch_pct [%],0.02
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],314.29
derived__smsp__sass_thread_inst_executed_op_hadd_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],0
derived__smsp__sass_thread_inst_executed_op_hmul_pred_on_x2 [inst],0
derived_tempMetric0,"23,92,064"
derived_tempMetric1,"15,66,63,808"
derived_tempMetric2,0
derived_tempMetric3,0
derived_tempMetric4,0
derived_tempMetric5,0
device__attribute_architecture,400
device__attribute_async_engine_count,1
device__attribute_can_flush_remote_writes,0
device__attribute_can_map_host_memory,1
device__attribute_can_tex2d_gather,1
device__attribute_can_use_64_bit_stream_mem_ops,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,0
device__attribute_can_use_host_pointer_for_registered_mem,0
device__attribute_can_use_stream_mem_ops_v1,0
device__attribute_can_use_stream_wait_value_nor,1
device__attribute_can_use_stream_wait_value_nor_v1,0
device__attribute_chip,407
device__attribute_clock_rate,"21,30,000"
device__attribute_cluster_launch,0
device__attribute_compute_capability_major,8
device__attribute_compute_capability_minor,9
device__attribute_compute_mode,0
device__attribute_compute_preemption_supported,1
device__attribute_concurrent_kernels,1
device__attribute_concurrent_managed_access,0
device__attribute_confidential_computing_mode,No-CC
device__attribute_cooperative_launch,1
device__attribute_cooperative_multi_device_launch,0
