derived__avg_thread_executed_true [thread],"3,039 {97}"
derived__avg_thread_unexecuted_true [thread],65 {97}
derived__derivative_avg_thread_executed_true [thread],128 {97}
derived__l1tex__lsu_writeback_bytes_mem_lg.sum.peak_sustained,"2,560"
derived__l1tex__lsu_writeback_bytes_mem_lg.sum.per_second,"2,05,43,23,20,235.51"
derived__local_spilling_requests,0
derived__local_spilling_requests_pct [%],0
derived__lts__lts2xbar_bytes.sum.peak_sustained [bytes],768
derived__lts__lts2xbar_bytes.sum.per_second [Gbytes],166.93
derived__lts__t_sectors_lookup_miss_data_promoted_pct [%],0
derived__memory_l1_conflicts_shared_nway,26 {22}
derived__memory_l1_wavefronts_shared_excessive,0 {22}
derived__memory_l2_theoretical_sectors_global_excessive [byte],0 {3}
derived__pct_occupancy_per_block_size [%],"5,223 {65}"
derived__pct_occupancy_per_register_count [%/register],"10,252 {257}"
derived__pct_occupancy_per_shared_mem_size [%/Kbyte],6.36 {200}
derived__shared_spilling_requests,0
derived__shared_spilling_requests_pct [%],0
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],80
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],"5,120"
derived__sm__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],"5,120"
derived__smsp__inst_executed_op_branch_pct [%],0.02
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],411.80
derived__smsp__sass_thread_inst_executed_op_hadd_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],0
derived__smsp__sass_thread_inst_executed_op_hmul_pred_on_x2 [inst],0
derived_tempMetric0,"21,95,456"
derived_tempMetric1,"12,91,05,920"
derived_tempMetric2,0
derived_tempMetric3,0
derived_tempMetric4,0
derived_tempMetric5,0
device__attribute_architecture,400
device__attribute_async_engine_count,1
device__attribute_can_flush_remote_writes,0
device__attribute_can_map_host_memory,1
device__attribute_can_tex2d_gather,1
device__attribute_can_use_64_bit_stream_mem_ops,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,0
device__attribute_can_use_host_pointer_for_registered_mem,0
device__attribute_can_use_stream_mem_ops_v1,0
device__attribute_can_use_stream_wait_value_nor,1
device__attribute_can_use_stream_wait_value_nor_v1,0
device__attribute_chip,407
device__attribute_clock_rate,"21,30,000"
device__attribute_cluster_launch,0
device__attribute_compute_capability_major,8
device__attribute_compute_capability_minor,9
device__attribute_compute_mode,0
device__attribute_compute_preemption_supported,1
device__attribute_concurrent_kernels,1
device__attribute_concurrent_managed_access,0
device__attribute_confidential_computing_mode,No-CC
device__attribute_cooperative_launch,1
device__attribute_cooperative_multi_device_launch,0
device__attribute_deferred_mapping_cuda_array_supported,1
device__attribute_device_index,0
device__attribute_direct_managed_mem_access_from_host,0
device__attribute_display_name,NVIDIA GeForce RTX 4050 Laptop GPU
device__attribute_dma_buf_supported,0
device__attribute_ecc_enabled,0
device__attribute_fb_bus_width,96
device__attribute_fbp_count,2
device__attribute_generic_compression_supported,1
device__attribute_global_l1_cache_supported,1
device__attribute_global_memory_bus_width,96
device__attribute_gpu_direct_rdma_flush_writes_options,0
device__attribute_gpu_direct_rdma_supported,0
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,0
device__attribute_gpu_direct_rdma_writes_ordering,0
device__attribute_gpu_overlap,1
device__attribute_gpu_pci_device_id,"68,16,44,254"
device__attribute_gpu_pci_ext_device_id,"10,401"
device__attribute_gpu_pci_ext_downstream_link_rate,"32,000"
device__attribute_gpu_pci_ext_downstream_link_width,8
device__attribute_gpu_pci_ext_gen,3
device__attribute_gpu_pci_ext_gpu_gen,3
device__attribute_gpu_pci_ext_gpu_link_rate,"16,000"
device__attribute_gpu_pci_ext_gpu_link_width,8
device__attribute_gpu_pci_revision_id,161
device__attribute_gpu_pci_sub_system_id,"2,34,36,37,052"
device__attribute_handle_type_fabric_supported,0
device__attribute_handle_type_posix_file_descriptor_supported,0
device__attribute_handle_type_win32_handle_supported,1
device__attribute_handle_type_win32_kmt_handle_supported,1
device__attribute_host_native_atomic_supported,0
device__attribute_host_numa_id,0
device__attribute_host_register_supported,1
device__attribute_implementation,407
device__attribute_integrated,0
device__attribute_ipc_event_supported,1
device__attribute_kernel_exec_timeout,1
device__attribute_l2_cache_size,"2,51,65,824"
device__attribute_l2s_count,16
device__attribute_limits_max_cta_per_sm,24
device__attribute_limits_num_tpcs,10
device__attribute_local_l1_cache_supported,1
device__attribute_managed_memory,1
device__attribute_max_access_policy_window_size,"13,42,13,632"
device__attribute_max_block_dim_x,"1,024"
device__attribute_max_block_dim_y,"1,024"
device__attribute_max_block_dim_z,64
device__attribute_max_blocks_per_multiprocessor,24
device__attribute_max_gpu_frequency_khz,"21,30,000"
device__attribute_max_grid_dim_x,"2,14,74,83,647"
device__attribute_max_grid_dim_y,"65,535"
device__attribute_max_grid_dim_z,"65,535"
device__attribute_max_ipc_per_multiprocessor,4
device__attribute_max_ipc_per_scheduler,1
device__attribute_max_mem_frequency_khz,"80,01,000"
device__attribute_max_persisting_l2_cache_size,"1,73,01,504"
device__attribute_max_pitch,"2,14,74,83,647"
device__attribute_max_registers_per_block,"65,536"
device__attribute_max_registers_per_multiprocessor,"65,536"
device__attribute_max_registers_per_thread,255
device__attribute_max_shared_memory_per_block,"49,152"
device__attribute_max_shared_memory_per_block_optin,"1,01,376"
device__attribute_max_shared_memory_per_multiprocessor,"1,02,400"
device__attribute_max_threads_per_block,"1,024"
device__attribute_max_threads_per_multiprocessor,"1,536"
device__attribute_max_warps_per_multiprocessor,48
device__attribute_max_warps_per_scheduler,12
device__attribute_maximum_surface1d_layered_layers,"2,048"
device__attribute_maximum_surface1d_layered_width,"32,768"
device__attribute_maximum_surface1d_width,"32,768"
device__attribute_maximum_surface2d_height,"65,536"
device__attribute_maximum_surface2d_layered_height,"32,768"
device__attribute_maximum_surface2d_layered_layers,"2,048"
device__attribute_maximum_surface2d_layered_width,"32,768"
device__attribute_maximum_surface2d_width,"1,31,072"
device__attribute_maximum_surface3d_depth,"16,384"
device__attribute_maximum_surface3d_height,"16,384"
device__attribute_maximum_surface3d_width,"16,384"
device__attribute_maximum_surfacecubemap_layered_layers,"2,046"
device__attribute_maximum_surfacecubemap_layered_width,"32,768"
device__attribute_maximum_surfacecubemap_width,"32,768"
device__attribute_maximum_texture1d_layered_layers,"2,048"
device__attribute_maximum_texture1d_layered_width,"32,768"
device__attribute_maximum_texture1d_linear_width,"26,84,35,456"
device__attribute_maximum_texture1d_mipmapped_width,"32,768"
device__attribute_maximum_texture1d_width,"1,31,072"
device__attribute_maximum_texture2d_gather_height,"32,768"
device__attribute_maximum_texture2d_gather_width,"32,768"
device__attribute_maximum_texture2d_height,"65,536"
device__attribute_maximum_texture2d_layered_height,"32,768"
device__attribute_maximum_texture2d_layered_layers,"2,048"
device__attribute_maximum_texture2d_layered_width,"32,768"
device__attribute_maximum_texture2d_linear_height,"65,000"
device__attribute_maximum_texture2d_linear_pitch,"20,97,120"
device__attribute_maximum_texture2d_linear_width,"1,31,072"
device__attribute_maximum_texture2d_mipmapped_height,"32,768"
device__attribute_maximum_texture2d_mipmapped_width,"32,768"
device__attribute_maximum_texture2d_width,"1,31,072"
device__attribute_maximum_texture3d_depth,"16,384"
device__attribute_maximum_texture3d_depth_alternate,"32,768"
device__attribute_maximum_texture3d_height,"16,384"
device__attribute_maximum_texture3d_height_alternate,"8,192"
device__attribute_maximum_texture3d_width,"16,384"
device__attribute_maximum_texture3d_width_alternate,"8,192"
device__attribute_maximum_texturecubemap_layered_layers,"2,046"
device__attribute_maximum_texturecubemap_layered_width,"32,768"
device__attribute_maximum_texturecubemap_width,"32,768"
device__attribute_mem_sync_domain_count,1
device__attribute_memory_clock_rate,"80,01,000"
device__attribute_memory_pools_supported,1
device__attribute_mempool_supported_handle_types,0
device__attribute_mps_enabled,0
device__attribute_multi_gpu_board,0
device__attribute_multi_gpu_board_group_id,0
device__attribute_multicast_supported,0
device__attribute_multiprocessor_count,20
device__attribute_num_l2s_per_fbp,8
device__attribute_num_schedulers_per_multiprocessor,4
device__attribute_num_tex_per_multiprocessor,1
device__attribute_numa_config,0
device__attribute_pageable_memory_access,0
device__attribute_pageable_memory_access_uses_host_page_tables,0
device__attribute_pci_bus_id,1
device__attribute_pci_device_id,0
device__attribute_pci_domain_id,0
device__attribute_ram_location,1
device__attribute_ram_type,17
device__attribute_reserved_shared_memory_per_block,"1,024"
device__attribute_sass_level,8
device__attribute_single_to_double_precision_perf_ratio,64
device__attribute_sparse_cuda_array_supported,1
device__attribute_stream_priorities_supported,1
